name,passmark,rank,value,price
GeForce 6800 Ultra,138,1175,NA,
GeForce 6800 XT,101,1248,NA,
GeForce 7000M,13,1519,NA,
GeForce 7000M / nForce 610M,12,1520,NA,
GeForce 7025 / nForce 630a,25,1482,NA,
GeForce 7050 / nForce 610i,27,1469,NA,
GeForce 7050 / nForce 620i,31,1460,NA,
GeForce 7050 / nForce 630i,27,1473,NA,
GeForce 7050 PV / nForce 630a,22,1495,NA,
GeForce 705M,454,930,NA,
GeForce 7100 / nForce 630i,31,1459,NA,
GeForce 7100 GS,43,1412,NA,
GeForce 710A,517,887,NA,
GeForce 710M,568,832,NA,
GeForce 7150 / nForce 630i,33,1454,NA,
GeForce 7150M / nForce 630M,18,1507,NA,
GeForce 7300 GS,66,1342,NA,
GeForce 7300 GT,108,1232,0.72,149.99
GeForce 7300 LE,55,1377,1.72,32.0
GeForce 7300 SE,39,1428,NA,
GeForce 7300 SE/7200 GS,41,1417,NA,
GeForce 730A,795,610,NA,
GeForce 7350 LE,74,1321,NA,
GeForce 7500 LE,69,1335,NA,
GeForce 7600 GS,134,1183,1.58,84.99
GeForce 7600 GT,182,1134,2.15,84.95
GeForce 7650 GS,134,1184,NA,
GeForce 7800 GS,177,1140,NA,
GeForce 7800 GT,195,1117,2.44,80.0
GeForce 7800 GTX,223,1082,NA,
GeForce 7900 GS,218,1086,NA,
GeForce 7900 GT,258,1059,NA,
GeForce 7900 GT/GTO,246,1067,NA,
GeForce 7900 GTX,305,1022,NA,
GeForce 7950 GT,264,1053,2.30,114.95
GeForce 7950 GX2,192,1122,3.50,54.99
GeForce 800A,440,938,NA,
GeForce 800M,559,840,NA,
GeForce 8100 / nForce 720a,82,1301,NA,
GeForce 810A,638,760,NA,
GeForce 810M,483,909,NA,
GeForce 8200,79,1313,NA,
GeForce 8200M G,56,1375,NA,
GeForce 820A,691,707,NA,
GeForce 820M,617,783,NA,
GeForce 825M,759,641,NA,
GeForce 8300,91,1282,4.04,22.68
GeForce 8300 GS,66,1345,NA,
GeForce 830A,1004,493,NA,
GeForce 830M,889,557,NA,
GeForce 8400,100,1250,1.45,69.78
GeForce 8400 GS,113,1219,3.23,34.99
GeForce 8400 SE,68,1338,NA,
GeForce 8400M G,58,1367,NA,
GeForce 8400M GS,82,1302,5.48,14.99
GeForce 8400M GT,98,1258,NA,
GeForce 840A,869,568,NA,
GeForce 840M,915,547,NA,
GeForce 845M,1121,440,NA,
GeForce 8500 GT,136,1179,NA,
GeForce 8600 GS,141,1169,NA,
GeForce 8600 GT,241,1068,NA,
GeForce 8600 GTS,285,1035,NA,
GeForce 8600M GS,123,1197,NA,
GeForce 8600M GT,168,1149,NA,
GeForce 8700M GT,206,1105,NA,
GeForce 8800 GS,545,864,NA,
GeForce 8800 GT,748,652,NA,
GeForce 8800 GTS,605,795,NA,
GeForce 8800 GTS 512,833,586,NA,
GeForce 8800 GTX,763,638,NA,
GeForce 8800 Ultra,769,634,NA,
GeForce 8800M GTS,474,918,NA,
GeForce 8800M GTX,542,871,NA,
GeForce 9100,82,1303,NA,
GeForce 9100M G,74,1319,NA,
GeForce 910M,475,914,NA,
GeForce 9200,80,1312,NA,
GeForce 9200M GE,81,1308,NA,
GeForce 9200M GS,84,1294,NA,
GeForce 920A,919,543,NA,
GeForce 920M,733,667,NA,
GeForce 920MX,1067,458,NA,
GeForce 9300,126,1192,NA,
GeForce 9300 / nForce 730i,130,1188,NA,
GeForce 9300 GE,101,1249,4.41,22.99
GeForce 9300 GS,91,1279,1.53,59.95
GeForce 9300GE,97,1261,NA,
GeForce 9300M G,84,1293,NA,
GeForce 9300M GS,94,1267,NA,
GeForce 930A,1208,413,NA,
GeForce 930M,943,532,NA,
GeForce 930MX,1204,414,NA,
GeForce 9400,140,1170,NA,
GeForce 9400 GT,187,1129,2.34,79.99
GeForce 9400M,119,1201,NA,
GeForce 9400M G,124,1196,NA,
GeForce 940A,1031,480,NA,
GeForce 940M,988,503,NA,
GeForce 940MX,1344,376,NA,
GeForce 945M,1434,355,NA,
GeForce 9500 GS,277,1040,NA,
GeForce 9500 GT,273,1043,3.18,85.99
GeForce 9500M,103,1241,NA,
GeForce 9500M G,166,1151,NA,
GeForce 9500M GS,180,1137,NA,
GeForce 9600 GS,445,935,NA,
GeForce 9600 GSO,517,886,10.35,49.99
GeForce 9600 GSO 512,503,896,NA,
GeForce 9600 GT,729,669,18.25,39.99
GeForce 9600M GS,231,1079,NA,
GeForce 9600M GT,259,1057,NA,
GeForce 9600M GT / GeForce GT 220M,293,1030,NA,
GeForce 9650M GS,270,1045,NA,
GeForce 9650M GT,253,1064,NA,
GeForce 9700M GT,319,1011,NA,
GeForce 9700M GTS,478,913,NA,
GeForce 9800 GT,708,692,6.81,103.99
GeForce 9800 GTX,769,633,NA,
GeForce 9800 GTX+,897,553,NA,
GeForce 9800 GTX/9800 GTX+,878,564,9.77,89.99
GeForce 9800 GX2,802,607,NA,
GeForce 9800 S,635,765,NA,
GeForce 9800M GS,547,860,NA,
GeForce 9800M GT,475,916,NA,
GeForce 9800M GTS,645,755,NA,
GeForce 9800M GTX,517,885,1.57,328.5
GeForce 999 GTX,124,1195,NA,
GeForce FX 5200,7,1540,0.11,69.99
GeForce FX 5200 Ultra,12,1523,NA,
GeForce FX 5200LE,7,1545,0.16,42.99
GeForce FX 5200SE,11,1525,NA,
GeForce FX 5500,8,1537,0.22,36.99
GeForce FX 5600,12,1524,NA,
GeForce FX 5600 Ultra,17,1511,NA,
GeForce FX 5600XT,9,1535,NA,
GeForce FX 5700,41,1418,NA,
GeForce FX 5700 Ultra,34,1448,NA,
GeForce FX 5700LE,24,1484,NA,
GeForce FX 5700VE,33,1453,NA,
GeForce FX 5900,34,1444,NA,
GeForce FX 5900 Ultra,41,1419,NA,
GeForce FX 5900XT,40,1421,NA,
