name,passmark,rank,value,price
AMD A6-3410MX APU,2053,1594,514.77,3.99
AMD A6-3420M APU,2001,1615,NA,
AMD A6-3430MX APU,2204,1534,NA,
AMD A6-3500 APU,2012,1612,27.74,72.54
AMD A6-3600 APU,2703,1348,117.61,22.99
AMD A6-3620 APU,2799,1316,46.67,59.99
AMD A6-3650 APU,3153,1200,98.58,31.99
AMD A6-3670 APU,3171,1188,39.03,81.25
AMD A6-4400M APU,1635,1802,41.02,39.86
AMD A6-4455M APU,1284,1974,NA,
AMD A6-5200 APU,2426,1443,NA,
AMD A6-5345M APU,1476,1877,NA,
AMD A6-5350M APU,1912,1656,44.36,43.12
AMD A6-5357M APU,1941,1642,NA,
AMD A6-5400B APU,2219,1527,21.13,105.04
AMD A6-5400K APU,2151,1552,16.55,129.95
AMD A6-6310 APU,2451,1436,NA,
AMD A6-6400B APU,2281,1502,NA,
AMD A6-6400K APU,2304,1488,16.46,139.95
AMD A6-6420B APU,2612,1375,NA,
AMD A6-6420K APU,2361,1472,15.75,149.99
AMD A6-7000 ,1671,1782,NA,
AMD A6-7310 APU,2664,1360,NA,
AMD A6-7400K APU,2779,1323,47.15,58.95
AMD A6-7470K,2727,1343,11.22,243.0
AMD A6-8500P,2202,1536,NA,
AMD A6-8550,3104,1212,NA,
AMD A6-9200,1718,1748,NA,
AMD A6-9210,1791,1715,NA,
AMD A6-9220,2177,1543,NA,
AMD A6-9220e,1600,1823,NA,
AMD A6-9225,2050,1595,NA,
AMD A6-9230,2102,1575,NA,
AMD A6-9500,3011,1241,53.30,56.51
AMD A6-9500E,2889,1291,44.66,64.7
AMD A8 PRO-7150B APU,2665,1359,NA,
AMD A8 PRO-7600B APU,4801,827,NA,
AMD A8-3500M APU,1972,1627,28.19,69.95
AMD A8-3510MX APU,2370,1468,NA,
AMD A8-3520M APU,2173,1544,NA,
AMD A8-3530MX APU,2371,1466,NA,
AMD A8-3550MX APU,2610,1376,NA,
AMD A8-3800 APU,3024,1237,53.07,56.99
AMD A8-3820 APU,3113,1210,24.91,124.99
AMD A8-3850 APU,3467,1109,32.81,105.68
AMD A8-3870K APU,3542,1089,70.87,49.99
AMD A8-4500M APU,2665,1358,NA,
AMD A8-4555M APU,2118,1567,NA,
AMD A8-5500 APU,3993,979,70.69,56.5
AMD A8-5500B APU,3981,980,NA,
AMD A8-5545M APU,2585,1385,NA,
AMD A8-5550M APU,3004,1246,NA,
AMD A8-5557M APU,2963,1259,NA,
AMD A8-5600K APU,4344,914,18.95,229.3
AMD A8-6410 APU,2570,1392,NA,
AMD A8-6500 APU,4388,906,46.20,94.99
AMD A8-6500B APU,4612,860,NA,
AMD A8-6500T APU,3221,1174,NA,
AMD A8-6600K APU,4585,867,47.27,96.99
AMD A8-7050,1986,1622,NA,
AMD A8-7100 APU,2805,1314,NA,
AMD A8-7200P,3319,1145,NA,
AMD A8-7410 APU,2734,1342,NA,
AMD A8-7600 APU,5072,771,63.42,79.99
AMD A8-7650K,4928,807,23.53,209.5
AMD A8-7670K,5083,768,31.55,161.1
AMD A8-7680,5314,739,93.81,56.65
AMD A8-8600P,3248,1166,NA,
AMD A8-8650,5470,708,NA,
AMD A8-9600,4994,792,71.56,69.79
AMD A9-9400,2309,1485,NA,
AMD A9-9410,2555,1398,NA,
AMD A9-9420,2320,1478,NA,
AMD A9-9420e,1871,1681,NA,
AMD A9-9425,2614,1373,NA,
AMD A9-9430,2543,1403,NA,
AMD Athlon 1500+,294,2643,NA,
AMD Athlon 1640B,667,2315,13.34,50.0
AMD Athlon 2000+,390,2532,NA,
AMD Athlon 200GE,4965,797,82.76,59.99
AMD Athlon 2100+,412,2495,NA,
AMD Athlon 2200+,363,2562,4.55,79.99
AMD Athlon 2400+,462,2445,NA,
AMD Athlon 240GE,5301,740,73.65,71.99
AMD Athlon 2500+,374,2543,2.04,183.99
AMD Athlon 2600+,444,2464,4.23,104.95
AMD Athlon 2650e,409,2499,21.56,19.0
AMD Athlon 2800+,447,2461,3.20,139.95
AMD Athlon 2850e,504,2406,NA,
AMD Athlon 3100+,485,2424,NA,
AMD Athlon 3200+,458,2450,7.63,60.0
AMD Athlon 4,279,2670,3.15,88.86
AMD Athlon 5000 Dual-Core,1292,1966,76.13,16.98
